SN,LIFNR,NAME1,STRAS
149,9007,Shinozaki Tsutomo,
150,9008,Sugiyama Ichiro,
151,MIDCO,MIDCO - IHC,
152,9923,Alexander Rickes,
153,20050,Raymond ter Linden,
154,22200,IDES France - Nantes,
155,T_VENDOR2,T_VENDOR2,
156,BRATWURST,Bratwurst AG,
157,CM_VAG01E,CM Agri Vendor 01 EUR,
158,CM_VCO01E,CM Concentrate Vendor EUR,
159,CM_VMI01E,CM Misc Vendor 01 EUR,
160,CM_VMTFIXE,CM Metal Vendor FIX EUR,
161,CM_VMT01E,CM Metal Vendor 01 EUR,
162,CM_VOG01E,CM Oil&Gas Vendor 01 EUR,
163,CN1222,ABC Supply Company CN,
164,D200000,Chemica IT,
165,ESOURCING,eSourcing,
166,HD9999,HOME DEPOT,
167,200076,MAHINDRA LTD,
168,IIL-CR-01,Ocean Carrier,Musterstrasse 5570
169,IIL-CR-02,DE Rail Carrier,Musterstrasse 1000
170,PMW00,Dressler,LindenstraÃŸe 1
171,SAL00,Maul GmbH,Danziger StraÃŸe 5
172,SAL50,Weber,Mannheimer StraÃŸe 15
173,SE102,Supplier 102 GmBH,HauptstaÃŸe 1
174,SE104,Supplier 104 GmBH,BahnhofstraÃŸe 10
175,T-Q415-00,Ultralight,Rosenstrasse 11
176,T-Q415-01,Ultralight,Rosenstrasse 11
177,T-Q415-02,Ultralight,Rosenstrasse 11
178,T-Q415-03,Ultralight,Rosenstrasse 11
179,T-Q415-04,Ultralight,Rosenstrasse 11
180,T-Q415-05,Ultralight,Rosenstrasse 11
181,T-Q415-06,Ultralight,Rosenstrasse 11
182,T-Q415-07,Ultralight,Rosenstrasse 11
183,T-Q415-08,Ultralight,Rosenstrasse 11
184,T-Q415-09,Ultralight,Rosenstrasse 11
185,T-Q415-10,Ultralight,Rosenstrasse 11
186,T-Q415-11,Ultralight,Rosenstrasse 11
187,T-Q415-12,Ultralight,Rosenstrasse 11
188,T-Q415-30,Ultralight,Rosenstrasse 11
189,VENDOR02,Vendor 02 AG,Dresdner Platz 3
190,VENDOR03,Vendor 03 AG,Wissler 1 29160
191,WEEE,WEEE,Electronic Street 432
192,10990,ABC Ltd,Lyoner Stern 23
193,10991,XYZ Ltd.,Lyoner Stern 23
194,10992,BBC Ltd,Lyoner Stern 23
195,1012,Reihl & MÃ¼ller,Wisperallee 59
196,1015,Wollner AG,Am Tiergarten 189
197,1025,SEC System SA,10
198,1035,Sommer GmbH,BÃ¤ckerstr. 198
199,1040,Hamberger u. CO.,Dachstr. 345
200,1045,Kreutzschmid KgaA,Calderonweg 250
201,1050,Humpert u. TÃ¶chter GmbH,Mosbachstr. 190
202,1058,Nordspeed GmbH,Von-Arleger-Weg 23
203,1060,Chemische Werke Halle,Bitterfelder Str. 123
204,1065,Papierwerke Bayland AG,Kehlheimer Str. 77
205,1075,Tiefland Glass AG,Basedowstr. 123
206,2000,Metall-Recycling GmbH,Dr. Bauer-Ring 33
207,2010,SAPSOTA,Industriepark
208,3450,Finanzamt Frankfurt,Frankfurter Ring
209,3452,Stromlieferant,Zentralplatz 1
210,3454,Finanzamt Berlin,Hauptstr. 45
211,3455,Wasserwerke Berlin,PoststraÃŸe 66
212,3456,Waermelieferant Berlin,Rathausstr. 85
213,3457,Clean & Cleaner,Poststr. 12
214,5200,Intershop,Adenauerallee 99
215,5210,Abele Intershop,Kaiserstr. 122
216,5500,Online Store,Industriestr.
217,52000,Metall Ag,iweg
218,BALTUS00,Baltus AG Gr.00,Bauweg 3
219,BALTUS01,Baltus AG Gr.01,Bauweg 3
220,BALTUS02,Baltus AG Gr.02,Bauweg 3
221,BALTUS03,Baltus AG Gr.03,Bauweg 3
222,BALTUS04,Baltus AG Gr.04,Bauweg 3
223,BALTUS05,Baltus AG Gr.05,Bauweg 3
224,BALTUS06,Baltus AG Gr.06,Bauweg 3
225,BALTUS07,Baltus AG Gr.07,Bauweg 3
226,BALTUS08,Baltus AG Gr.08,Bauweg 3
227,BALTUS09,Baltus AG Gr.09,Bauweg 3
228,BALTUS10,Baltus AG Gr.10,Bauweg 3
229,BALTUS11,Baltus AG Gr.11,Bauweg 3
230,BALTUS12,Baltus AG Gr.12,Bauweg 3
231,BALTUS13,Baltus AG Gr.13,Bauweg 3
232,BALTUS14,Baltus AG Gr.14,Bauweg 3
233,BALTUS15,Baltus AG Gr.15,Bauweg 3
234,BALTUS16,Baltus AG Gr.16,Bauweg 3
235,BALTUS17,Baltus AG Gr.17,Bauweg 3
236,BALTUS18,Baltus AG Gr.18,Bauweg 3
237,BALTUS19,Baltus AG Gr.19,Bauweg 3
238,BALTUS20,Baltus AG Gr.20,Bauweg 3
239,BALTUS21,Baltus AG Gr.20,Bauweg 3
240,BALTUS22,Baltus AG Gr.22,Bauweg 3
241,BALTUS23,Baltus AG Gr.23,Bauweg 3
242,BALTUS24,Baltus AG Gr.24,Bauweg 3
243,BALTUS25,Baltus AG Gr.25,Bauweg 3
244,BALTUS26,Baltus AG Gr.26,Bauweg 3
245,BALTUS27,Baltus AG Gr.27,Bauweg 3
246,BALTUS28,Baltus AG Gr.28,Bauweg 3
247,BALTUS29,Baltus AG Gr.29,Bauweg 3
248,BALTUS30,Baltus AG Gr.30,Bauweg 3
249,CMA101,Contract Manufacturer 101 LLC,Mainstreet 1
250,CME101,Contract Manufacturer 101 GmBH,BahnhofstraÃŸe 1
251,ACCENTURE,ACCENTURE,ACC
252,GOLDSGYM,GOLDS GYM,GOLDS
253,L&T9999,L&T,L&T
254,BESTEVER99,BESTEVER99,BEST
255,DHL99,DHL,DHL HOUSE
256,ZARA,HOME DEPOT,ZARA HOUSE
257,ACKO99,ACKO AUTO SUPPLIERS,A
258,CEAT TYERS,CEAT LA,CEAT HOUSE
259,SAFETY99,SAFETY LLP,SAFE
260,TESLA99,TESLA,TESLA HOUSE
261,TOKNO99,TOKNO SUPPLIERS,TOKNO HOUSE
262,JACKSON99,JACKSON JACKETS,JACKSON
263,SF0_URBAN,SFO URBAN,SFO HOUSE
264,99989,OTV-OPEX,OTV
265,SFK77,HOUSTON SUPPLIERS,SFK HOUSE
266,SFK66,SFK,SFK
267,WENGERAUTO,WENGER,WENGER
268,K0101,Schall & Rauch AG,Hohle Gasse 7
269,K0102,Meryam,feurbachstraÃŸe 12
270,K0103,Sonia,motorstr 1
271,K0104,Besma,hallerstr 31
272,VMIETER01,AHMED,
273,CPDLIEF01,Einmallieferanten01,TALSTR 1
274,SFK99,SFK SUPPLIERS,SFK HOUSE
275,100664,TEST TT  0905 01,nowa 1
276,100674,TEST TT 1506 TT iNVOICE PARTY,INVOICE VENDOR ADRES
277,100675,TEST TT 1506 TT GOODS SUPOL,GOODS SUPLIER VENDOR ADRES
278,100678,Test partner 1606 OA,Order adres 111
279,100677,Test partner 1606 IN,Invoice adress test
280,100676,Test partner 1606 GS,Goods supplly addres test
281,200217,Test partner 1606 VN,Vendor adress test
282,3453,Waermelieferant Frankfurt,RathausstraÃŸe 5
283,YOKOHAMA,LA,YOKOHAMA HOUSE
284,EXTERN_JP,External vendor Japan,Ginza1
285,GTS_0001,GTS GmbH & Co.KG,Hasso-Plattner-Ring 7
286,IIL-VN-01,IIL Vendor 1,4711 Main Street
287,IIL-VN-02,IIL Vendor 2,7589 Main Street
288,IS_CARR5,Global West Ocean Transport,Wilhelminakade 500
289,IS_VEND6,Port of Rotterdam Authority,Wilhelminakade 909
290,MOBILE01,Scilly Tools PLC,10 Mainstreet
291,MOBILE02,Hongkong Trading Ltd,12 Fullham Street
292,MOBILE03,HappyHammering PLC,10 Harveyroad
293,MOBILE04,PERRY'S TOOLBOX PLC,10 Friendroad
294,NL5400,KDS International bv,Martkplaats 10
295,NL5401,Watson bv,De Dieze 2
296,SA102,Supplier 102 LLC,1 Mainstreet
297,SA104,Supplier 104 LLC,1 Mainstreet
298,SAL10,klÃ¶,zahlwe 123
299,SL102,Supplier 102 LLC,Mainstreet 1
300,SL104,Supplier 104 LLC,Mainstreet 1
301,SLOPAK,SLOPAK d.o.o.,100 Vodovodna
302,T-F00A00,AC205 Vendor,Astor Str. 5
303,TM_CAR004,Europa Express,Oranjelaan 46
304,TPLM-99,Sapsota Company Limited,Industriepark 48 - 52
305,TRM-VENDOR,TRM-International,Industriestrasse 12
306,TURFMOOR,Turfmoor Inc,Turfmoor Street 12
307,UE-1001,Rieger,SchillerstraÃŸe 18
308,VENDOR01,Vendor 01 GB,43 Manchester Street
309,ELYS,ELYS FACTOR,45 rue des Acacias
310,PHAR,PHAR,56 rue de BellÃªme
311,MAZ,MAZ,46 rue des pivoines
312,4010,Electric Engines,10 Power Avenue
313,FORN00-35,Sony Corporation Japan,17
314,GTS_0002,FRITZ GELOWICZ,Nowherelane 9
315,8,Jose Fernandez,Via Rioja 1
316,10,Dupont de la RiviÃ¨re,rue des fleuves
317,25,Metropol,Kronprinsensgade 11
318,1095,Lopez S.A.,Avenida del Sol
319,1550,Stadtwerke Frankfurt,Industrie Gebiet Nord
320,1935,SLL Cargo Services,Am Flughafen 13
321,1992,IDES UK,East Street 73
322,1999,Test,Teststr.
323,2005,Wilms and Brothers Ltd.,Kandal Street 12
324,2007,Morel,12 Rue Morel
325,2008,Antoni,Via Batistini 345
326,3010,One Time Vendors Q - Z,Baker Street
327,3101,Finanzamt Berlin,Starnberger Allee 4
328,3333,Bill Biller,Billing Street 12
329,3950,One Time Vendors L - P,Baker Street
330,3960,One Time Vendors A - K,Baker Street
331,4257,Polis Immobilien Fuehrer,Neue Mainzer Str. 567
332,4258,Hoffmann Immobilien AG,Offenbacher Strasse 45
333,10089,Auto Color Bulgaria,Blvd. Totleben 53-55
334,20002,Metall Factory Inc.,Seaview Street 73
335,37001,Active Ingredients France,101 Rue de la Gare
336,37002,Pharma and Co,12 Rue du Pont
337,88888,Korean Supplier,Main Street123
338,88889,Korean Automotive Supplier,Gasan-Dong543
339,90210,Thomas,Stilllevej 12
340,100001,Charlotte Fritsch,An der oberen Lache 45
341,100318,TMS Consulting,Budergasse 24
342,100321,Evolo Robots,Klingelgasse 12
343,100308,Apple Germany,Ulmenweg 33
344,100359,Third-Party Agent #2,1 Jidka Sodonka
345,A006049503,Mustermann Bikes,Blumenstrasse 56
346,5000002,European Patent Office,Erhardtstrasse 27
347,300000,Edwin Dealer,Neurottstrasse 15a
348,ALSI,ALSI,37 calle mayor
349,BARNBECKJ,Joachim Barnbeck,Neurottstr. 16
350,CML101,Contract Manufacturer 101 LLC,Mainstreet 1
351,CN2502,Rubicon Steel & Components CN,100 CN
352,CONAI,Conai Italy,Via Donizetti 6
353,CPB1000,Softdrink,Bottel str. 20
354,DE-001,Inland Lieferant,Waldweg 1
355,DE-002,Ausland Lieferant,BergstraÃŸe 1
356,DE1222,ABC Supply Company DE,100 Fraustrasse
357,MMAN2191,MMANI COMPANY,FLOWER ST
358,MR BEAN,Bean,liebigstrasse 5
359,100618,Rebobinca,Calle monagas
360,FIAT,FIAT LA,FIAT HOUSE
361,ACK099,ACKO99,SAMEER HOUSE
362,ACKO099,ACKO SUPPLIERS,ACKO
363,WIPRO,WIPRO LTD,WIPRO HOUSE
364,SFK12,ABC,ABC
365,SFK13,TEST 1,TEST
366,SFK21,SFK SUPPLIERS LLC,SFK HOUSE
367,SFK22,SFK SUPPLIERS LLC,SFK HOUSE
368,SFK23,SFK SUPPLIERS LLC( IP),AEDEF
369,SFK24,ARSHIYA INTERNATIONAL,ARSHIYA
370,SFK25,FEDEX INTERNATIONAL,FEDEX HOUSE
371,NEW_NUM,Hannah Company,School Street
372,TST1,Hannah's Test Vendor,1 Beacon Street
373,100635,Hawks,Main St.
374,200072,YAKO,s
375,200073,HOME DEPOT,STREET
376,100000,Telekom,Dammallee 24
377,SA105,Supplier 105 LLC,
378,SA301,Xi'an Industries,1000 East Avenue
379,SA302,Henan Ltd.,900 Nanyang Road
380,SA303,Yangtze Ind,405 North Zhong Shan Road
381,SA304,GTZ Ltd,1000 East Shennan Road
382,SA306,Mega Company,200 Chengdong Road
383,SA307,Shijiazhuang Group,208 Weiming Street
384,SE105,Supplier 105 GmBH,
385,SL105,Supplier 105 LLC,
386,SL302,CompaÃ±ia Villa,LeÃ³n Guillet 700
387,SL303,CompaÃ±ia Cuyo,Ruta Nacional 100
388,SL304,CompaÃ±ia Punilla,Catamarca 300
389,SL305,CompaÃ±ia ABC,Ruta 11 KM 1000
390,SL306,CompaÃ±ia San Luis,Boulevard Las Canadas 100
391,SL307,CompaÃ±ia Andean,Primitivo De La Reta 900
392,SA305,Hunan Inc,800 Wuyi Avenue
393,HYUNDAI,HYUNDAI PVT LDT,HYUNDAI HOUSE 01
394,80002,General Suppliers Inc,2191 Yonge St
395,200151,SRK TRADER,
396,200150,L& T,DALAL STREET /401
397,200178,GOLD'S GYM,12345 POWAI
398,200181,IKON 02,123 RED HOUSE
399,200203,ACER LAPTOP 99,WE WORK
400,200204,ACER LAPTOP 88,WE WORK
401,200205,IEX,WE WORK
402,200202,HOME DEPOT,99 LEONARDO VINCI
403,200311,Breaktime,Breaktime StraÃŸe 25
404,JP-TOKYOSP,Tokyo Harbor,
405,MLM,Main Land Mechatronics,
406,MN01,Manufacturer 01 for MPN,Wiener StraÃŸe 10
407,MSE,Mainland Steel exporters,
408,SA101,Supplier 101 LLC,10 Dongtai Rd
409,SA103,Supplier 103 LLC,
410,200000,Prudential,1 13 de Septiembre
411,SA308,Votex Ltd.,180 Banpo-dong Seocho-gu180
412,SA309,Nakdong Company,Woo 1-Dong Haeundae-Gu700
413,SE101,Supplier 101 GmBH,MÃ¼nchner StraÃŸe 5
414,SE103,Supplier 103 GmbH,
415,SE301,August Campmann / MÃ¼nchen,Frankfurter Ring 195
416,SE302,Frei und SÃ¶hne / NÃ¼rnberg,WaldaustraÃŸe 13
417,SE303,Vereinigte Industrie / Bamberg,BrennerstraÃŸe 14
418,SE304,Verkauf GmbH / Dortmund,NortkirchenstraÃŸe 100
419,SE305,Lieferungen GmbH / Essen,Rellinghauser StraÃŸe 1
420,SE306,Frank & Co / Dortmund,WestfaliastraÃŸe 13
421,SE307,Deutsche Versand / Kassel,August-Bode-StraÃŸe 1
422,SE308,Wei Guo International Inbd Vendor 1,1 Xiao Sha Mao Hu Tong
423,SE309,Li Shin International Inbd Vendor 2,11 Fuhong Road
424,SL101,Supplier 101 LLC,Av Pdte PerÃ³n Oeste 1
425,SL103,Supplier 103 LLC,
426,SL301,Industria Extra,Avenida Sarmiento 352
427,SU308,Wei Guo International Inbd Vendor 1,1 Xiao Sha Mao Hu Tong
428,SU309,Li Shin International Inbd Vendor 2,1 Fuhong Road
429,TOKYO,Tokyo,
430,TP_AIR_MX,Airport Mexico DF,
431,TP_PORT_DO,Port Harwich,
432,TP_PORT_MX,Port Veracruz-Mexico,
433,TP_TRN_MX,Train Station Mexico,
434,EMEA-1000,Hudson Technologies,St George St 140
435,EMEA-1001,William & Sons Gmbh,Long Drive Blvd 345
436,EMEA-1002,IMG Gmbh,Hasso-Plattner-Ring 100
437,A006003948,Catering Services,FriedenstraÃŸe 9
438,A006015073,Consulting Services,MaxburgstraÃŸe 3
439,A006029461,IT Services,MittelstraÃŸe 6
440,A006034403,C&I Services,BurchardstraÃŸe 13
441,200020,Universidad del Zulia,67 B av Con Calle
442,A006052007,Printing Services,1 Xiao Sha Mao Hu Tong
443,A006061954,Media Publishing Services,2200 HongQiao Road
444,A006079154,Public Relation Services,11 Fuhong Road
445,MILLER,MILLERS,Whitefield Rd
446,SWARAJ,SWARAJ,
447,AN-56569,Lalji Traders,Chicpet
448,AN-56567,KANNA TRADERS,Industrial town 45/49
449,AN-56570,India Marrt,Chowrengi
450,WGW-008,Wei Gou International,1 Xiao Sha Mao Hu Tong
451,1061,Neotech GmbH,
452,1106,SPEDITRANS Transport GmbH,Siebeldinger Str. 4-20
453,1120,Rohrbau-Dienstleistungs GmbH,Planken 12-15
454,TWA-CR-03,Uchida Trucking,Tome Nagi 
455,10084,Carl Stahl Werkzeugbau GmbH,WiesenbachstraÃŸe 18-20
456,10097,TIRES WORLDWIDE,123 Kingston Road
457,10098,GUM Company,256 Broad Street
458,10100,AUTOBODY INTERNATIONAL,Test Drive
459,10199,UNITED COLORS,1024 Brush Avenue
460,20000,IDES UK LTD,10 Downing Street
461,21000,IDES PORTUGAL,Da Santos Torre 20
462,40000,IDES Canada,100 Mapleleaf Drive
463,ARA,Altstoff Recycling Austria,Mariahilfer StraÃŸe 123
464,ARA_1,Altstoff Recycling Austria,Mariahilfer StraÃŸe 123
465,CE308,Wei Guo International Inbd Vendor 1,1 Xiao Sha Mao Hu Tong
466,DIT-CR-10,TM-DIT: Carrier 1,Landsberger Str. 250
467,DIT-VN-10,TM-DIT: Vendor 1 / Munich,Frankfurter Ring 195
468,DIT-VN-20,TM-DIT: Vendor 2 / Nuremberg,Nopitschstr. 67
469,DIT-VN-21,TM-DIT: Vendor 2 / Bamberg,Hafenstr. 18
470,DIT-VN-30,TM-DIT: Vendor 3 / Dortmund,Arminiusstr. 59
471,DIT-VN-31,TM-DIT: Vendor 3 / Essen,Hammacher Str. 100
472,DIT-VN-40,TM-DIT: Vendor 4 / Dortmund,Hauert 11
473,DIT-VN-50,TM-DIT: Vendor 5 / Kassel,Henschelplatz 1
474,DIT-CR-20,TM-DIT: Carrier 2,Eifelstr. 30
475,OAF-CR-01,EASC - East Asia Shipping Corp,Nippon Costal Highway 101
476,OAF-CR-03,Uchida Trucking,Tome Nagi 7-53-12
477,OAF-CR-04,Ich-Ni Express,Hadaka-Jime 15
478,CAR-01,ALR Express LTd,1010 W Madison St
479,CAR-02,National Trucking,101 Durand Ave
480,TWA-CR-04,Ich-Ni Express,Hadaka-Jime 15
481,TWA-CR-JL,Rising Sun Airlines Ltd,Higashi-shinagawa 2-chome
482,TWA-CR-QF,Oceanic Airways Limited,Building A
483,TWA-JL-NRT,Rising Sun Airlines Ltd,Higashi-shinagawa 2-chome
484,TWA-QF-NRT,Oceanic Airways (Japan) KK Ltd,Toranomon 37th Mori Bldg 9F
485,TWA-QF-SYD,Oceanic Airways (Australia) Ltd.,23 Airport Drive
486,AF-CR-JL,Rising Sun Airlines Ltd.,Higashi-shinagawa 2-chome
487,AF-CR-QF,Oceanic Airways Limited,815-C Building A
488,AF-JL-NRT,Rising Sun Airlines Ltd.,Higashi-shinagawa 2-chome 4-11
489,AF-QF-NRT,Oceanic Airways (Japan) KK Ltd,Toranomon 37th Mori Bldg 9F 3-5-1
490,AF-QF-SYD,Oceanic Airways (Australia) Ltd.,23 Airport Drive
491,A006049527,Translation Services,800 Wuyi Avenue
492,NV69,Nvidia Cards and electronics,Tel aviv 20202
493,SAKO,SAKO INDUSTRIES,4555 Prestwick Pl
494,VSAMI2191,sami associates,4536 holmes st
495,VSAAMI2191,viva2191,2346 hyde rd
496,VMANI2191,VM ENTERPRISES,2344 SOLAR ST
497,VVMAN2191,vani enterfrises,7654 holmes st
498,VYAMI2191,vyami enterprises,4444 sola st
499,VMIL2191,vmil company,3333 jackson st
500,VMIIL2191,vmiil2191,4444 watson st
501,VSIL2191,vsil company,77777 hyde st
502,VDIN2191,vdin co,45321
503,VGIN2191,vgin2191,4539 holmes st
504,100609,Vola C.A,calle san juan de la peÃ±a
505,100610,Salgado C.A,
506,LANDLORD,Real Estate Agency,Main Street 179
507,900009,Carupano 1,calle monagas
508,A30501,Alvaro 305 SSL,
509,T-K500Y07,Highspeed Gr.77,Lincolnstrabe 99
510,200071,MAKO,24
511,200074,DUNKIRK ASSOCIATE,456
512,200075,CEAT TYRES,12
513,200077,TOYOTA SPOILERS,216 GANDHI NAGAR
514,200079,CEAT TYRES 112,APPOLO ROAD
515,200080,GOODYAR TYRES,786
516,EXTERN,Extern,KurfÃ¼rstendamm 50
517,FR-001,FOURNISSEUR1,1 Rue de la rÃ©publique
518,FR-002,LSP TRANSPORTS FRANCE,
519,HT-V2011-1,Seagate Technology,10200 S. De Anza Blvd
520,IOT-CR-03,Europa Express,Oranjelaan 46
521,IS_CARR4,Europe Trucking Company,Helenenstrasse 14 200
522,IS_VEND2,Cologne Equipment AG,Asternweg 200
523,MM_CARR_D,MM_CARR_D,Rafles Ave
524,MONSANTOBR,MONSANTO DO BRAZIL LTDA,AV DAS NACOES UNIDAS
525,SERU305,SERU305,Dolshaya pokrovskaya 8
526,SL-LIMA-SP,Lima Harbor,
527,SMI-SUP-B,SMI Supplier B,Am Kibbelsteg
528,SMTPVS3855,Serv Mgmt TPVS TSP 1,
529,SP33001,Italian Freight Company,
530,SU01,Supplier SU01,
531,SU02,Supplier SU02,
532,SU03,Supplier SU03,
533,T-K510Z01,Sundry GmbH,Drosselgasse 15
534,TE-AC00,American Sports Distributor Gr. 76,25 West Wilson Street
535,TE-AC01,American Sports Distributor Gr. 76,25 West Wilson Street
536,TE-AC02,American Sports Distributor Gr. 76,25 West Wilson Street
537,TE-AC03,American Sports Distributor Gr. 76,25 West Wilson Street
538,TE-AC04,American Sports Distributor Gr. 76,25 West Wilson Street
539,TE-AC05,American Sports Distributor Gr. 76,25 West Wilson Street
540,TE-AC06,American Sports Distributor Gr. 76,25 West Wilson Street
541,TE-AC07,American Sports Distributor Gr. 76,25 West Wilson Street
542,TE-AC08,American Sports Distributor Gr. 76,25 West Wilson Street
543,TE-AC09,American Sports Distributor Gr. 76,25 West Wilson Street
544,TE-AC10,American Sports Distributor Gr. 76,25 West Wilson Street
545,TE-AC11,American Sports Distributor Gr. 76,25 West Wilson Street
546,TE-AC12,American Sports Distributor Gr. 76,25 West Wilson Street
547,TE-AC13,American Sports Distributor Gr. 76,25 West Wilson Street
548,TE-AC14,American Sports Distributor Gr. 76,25 West Wilson Street
549,TE-AC15,American Sports Distributor Gr. 76,25 West Wilson Street
550,TE-AC16,American Sports Distributor Gr. 76,25 West Wilson Street
551,TE-AC17,American Sports Distributor Gr. 76,25 West Wilson Street
552,TM_CAR005,Ruhr Logistik,Lindenstr 111
553,TM_US_R_01,Carrier Rail US,60 Massachusetts Ave NE
